X,Y,OBJECTID,Facility_ID,FacilityName,StreetNo,StreetName,StreetType,SuburbTown,Postcode,Latitude,Longitude,FaciltySportPlayedID,SportsPlayed,NumberFieldCourts,FieldSurfaceType,FacilityAge,FacilityCondition,FacilityUpgradeAge,Changerooms,LGA
144.640316,-37.898601,9001,WYNDHA8530,Werribee Sports & Fitness Centre,,Ballan,Road,WERRIBEE,3030,-37.898601,144.640316,26686,Netball,5,Hard Court,,4. Good,,"Female, Male",WYNDHAM
144.7275,-37.872,9002,WYNDHA11288,Hoppers Indoor Sportz,,Graham,Court,HOPPERS CROSSING,3029,-37.872,144.7275,26982,Netball (indoor),2,,,,,,WYNDHAM
144.659074,-37.913492,9003,WYNDHA8521,Riverside Indoor Sports,13,Riverside,Avenue,WERRIBEE,3030,-37.913492,144.659074,26667,Netball (Indoor),5,Carpet Playing Surface,,,,,WYNDHAM
144.67498,-37.924111,9004,WYNDHA8516,National Equestrian Centre,,K,Road,WERRIBEE,3030,-37.924111,144.67498,26653,Polo,2,,,,,,WYNDHAM
144.71783,-37.840037,9005,WYNDHA5496,Clearwood Drive Reserve,,Clearwood,Drive,TRUGANINA,,-37.840037,144.71783,27809,Rugby League,2,,0 - 5 Years,,New facility under construction,,WYNDHAM
144.609389,-37.897069,9006,WYNDHA11000,Haines Drive Reserve,,Haines,Road,WYNDHAM VALE,3024,-37.897069,144.609389,27810,Rugby League,2,,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials",WYNDHAM
144.692478,-37.877437,9008,WYNDHA8514,Mossfiel Reserve,,Heaths,Road,HOPPERS CROSSING,3029,-37.877437,144.692478,26647,Rugby Union,2,Grass,26 - 50 Years,3. Average,N/A,"Umpire/Officials, Unisex",WYNDHAM
144.640603,-37.898303,9009,WYNDHA11205,Wyndham Handgun Club,,Ballan,Road,WERRIBEE,3030,-37.898303,144.640603,27283,Shooting Sports,,,,,,,WYNDHAM
144.735336,-37.880556,9010,WYNDHA8492,Boardwalk Skate Park,,Boardwalk,Boulevard,POINT COOK,3030,-37.880556,144.735336,26594,Skating,1,Concrete,0 - 5 Years,3. Average,N/A,,WYNDHAM
144.497406,-37.961417,9011,WYNDHA8512,Little River Reserve,,You Yangs,Road,LITTLE RIVER,3211,-37.961417,144.497406,26640,Skating,1,Concrete,,,,,WYNDHAM
144.634572,-37.88181,9013,WYNDHA8518,Presidents Park,,McGraths,Road,WERRIBEE,3030,-37.88181,144.634572,26658,Skating,1,Concrete,6 - 10 Years,3. Average,,,WYNDHAM
144.729419,-37.860804,9014,WYNDHA10998,Forsyth Road Reserve,,Forsyth,Road,TRUGANINA,3029,-37.860804,144.729419,26567,Soccer,2,Grass,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials, Unisex",WYNDHAM
144.650409,-37.88706,9016,WYNDHA8502,Galvin Park,,Shaws,Road,WERRIBEE,3030,-37.88706,144.650409,26619,Soccer,3,Grass,11 - 25 Years,4. Good,Upgrade in progress,"Umpire/Officials, Unisex",WYNDHAM
144.676572,-37.860885,9017,WYNDHA8505,Grange Reserve Soccer Complex,,Hogans,Road,HOPPERS CROSSING,3029,-37.860885,144.676572,26622,Soccer,2,Grass,0 - 5 Years,5. Very Good,N/A,"Umpire/Officials, Unisex",WYNDHAM
144.752502,-37.909351,9019,WYNDHA11003,Saltwater Reserve,,Point Cook,Road,POINT COOK,3030,-37.909351,144.752502,26580,Soccer,3,Artificial Turf,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials, Unisex",WYNDHAM
144.727529,-37.89401,9020,WYNDHA11004,Tom Roberts Parade Reserve,,Tom Robert,Parade,POINT COOK,3030,-37.89401,144.727529,26583,Soccer,2,Grass,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials, Unisex",WYNDHAM
144.702157,-37.892629,9021,WYNDHA8526,VU Wyndham Sporting Complex,,Hoppers,Lane,WERRIBEE,3030,-37.892629,144.702157,26677,Soccer,1,Grass,6 - 10 Years,4. Good,< 1 Years,"Female, Male",WYNDHAM
144.764933,-37.852136,9023,WYNDHA8511,Laurie Emmins Reserve,,Sayers,Road,LAVERTON NORTH,3026,-37.852136,144.764933,26637,Softball,1,Grass,11 - 25 Years,2. Poor,6 - 10 Years,,WYNDHAM
144.691056,-37.869127,9025,WYNDHA8500,Fenix Fitness Club Hoppers Crossing,116,Mossfiel,Drive,HOPPERS CROSSING,3029,-37.869127,144.691056,26614,Swimming,,"25m Pool - Indoor, Spa/Sauna",,,,,WYNDHAM
144.729,-37.866,9026,WYNDHA8523,Shawn's Swim School,35,Richards,Road,HOPPERS CROSSING,3029,-37.866,144.729,26671,Swimming,,25m Pool - Indoor,,,,,WYNDHAM
144.651882,-37.906041,9027,WYNDHA8528,Werribee Olympic Pool,,Watton,Street,WERRIBEE,3030,-37.906041,144.651882,26680,Swimming,3,"50m Pool - Outdoor, Recreation / Play Water Space, Toddlers Pool",,5. Very Good,1 - 5 Years,"Female, Male, Unisex",WYNDHAM
144.683355,-37.882173,9028,WYNDHA8533,Wyndham Leisure & Events Centre,,Derrimut,Road,HOPPERS CROSSING,3029,-37.882173,144.683355,26694,Swimming,5,"50m Pool - Indoor, Recreation / Play Water Space, Rehabilitation Pool, Spa/Sauna, Toddlers Pool",11 - 25 Years,5. Very Good,,"Female, Male, Unisex",WYNDHAM
144.675717,-37.871069,9030,WYNDHA8494,Cambridge Reserve,,Barber,Drive,HOPPERS CROSSING,3029,-37.871069,144.675717,26598,Tennis (Outdoor),6,Hard Court,11 - 25 Years,4. Good,1 - 5 Years,"Female, Male",WYNDHAM
144.652061,-37.904815,9031,WYNDHA8495,Chirnside Park,,Watton,Street,WERRIBEE,3030,-37.904815,144.652061,26602,Tennis (Outdoor),2,Hard Court,,4. Good,< 1 Years,"Female, Male",WYNDHAM
144.692773,-37.86949,9034,WYNDHA8508,Hoppers Crossing Club,,Pannam,Drive,HOPPERS CROSSING,3029,-37.86949,144.692773,26630,Tennis (Outdoor),2,,,,,,WYNDHAM
144.748532,-37.896312,9035,WYNDHA8510,Jamieson Way Tennis & Netball Complex,,Jamieson,Way,POINT COOK,3030,-37.896312,144.748532,26634,Tennis (Outdoor),4,Hard Court,0 - 5 Years,4. Good,N/A,"Female, Male",WYNDHAM
144.691765,-37.973368,9038,WYNDHA8519,Price Reserse,,Beach,Road,WERRIBEE,3030,-37.973368,144.691765,26662,Tennis (Outdoor),2,Hard Court,26 - 50 Years,3. Average,,,WYNDHAM
144.762714,-37.896097,9040,WYNDHA8522,Sanctuary Lakes Golf Club,,Greg Norman,Drive,POINT COOK,3030,-37.896097,144.762714,26670,Tennis (Outdoor),3,,,,,,WYNDHAM
144.751023,-37.885605,9042,WYNDHA8531,Willow Green Park Tennis Courts,,Spindrift,Way,POINT COOK,3030,-37.885605,144.751023,26690,Tennis (Outdoor),2,Hard Court,6 - 10 Years,3. Average,,,WYNDHAM
144.66,-37.8565,9043,WYNDHA11006,Wootten Road Reserve,,Wootten,Road,TARNEIT,3029,-37.8565,144.66,26588,Tennis (Outdoor),9,Hard Court,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials, Unisex",WYNDHAM
144.619546,-37.887244,9044,WYNDHA8532,Wyndham Green Tennis Courts,,Amber,Place,WYNDHAM VALE,3024,-37.887244,144.619546,26691,Tennis (Outdoor),1,Hard Court,6 - 10 Years,3. Average,,,WYNDHAM
